agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 8381,"Department of Employment, Education, Training and Youth Affairs, Karratha Branch Office [Western Australia]",Local Office,Northern Territory,1996-03-11,1998-04-30,1996-03-11,1998-04-30
CA 8400,Employment Services Regulatory Authority,Head Office,Victoria,,,1994-12-01,2001-11-26
CA 8504,"Department of Employment, Education, Training and Youth Affairs, New South Wales State Office",Regional or State Office,New South Wales,1997-07-01,1998-10-21,1997-07-01,1998-10-21
CA 8505,"Department of Employment, Education, Training and Youth Affairs, Northern Territory State Office",Regional or State Office,Northern Territory,1997-07-01,1998-10-21,1997-07-01,1998-10-21
CA 8507,"Department of Employment, Education, Training and Youth Affairs, South Australia State Office",Regional or State Office,South Australia,1997-07-01,1998-10-21,1997-07-01,1998-10-21
CA 8508,"Department of Employment, Education, Training and Youth Affairs, Tasmania State Office",Regional or State Office,Tasmania,1997-07-01,1998-10-21,1997-07-01,1998-10-21
CA 8509,"Department of Employment, Education, Training and Youth Affairs, Victoria State Office",Regional or State Office,Victoria,1997-07-01,1998-10-21,1997-07-01,1998-10-21
CA 8510,"Department of Employment, Education, Training and Youth Affairs, Western Australia State Office",Regional or State Office,Western Australia,1997-07-01,1998-10-21,1997-07-01,1998-10-21
CA 8531,"Ministerial Council on Vocational Education, Employment and Training",Intergovernmental agency,Victoria,1990-11-22,1994-01-01,1990-11-22,1994-01-01
CA 8532,"Vocational Education, Employment and Training Advisory Committee",Intergovernmental agency,Victoria,1990-11-22,1994-01-01,1990-11-22,1994-01-01
CA 8556,"Department of Employment, Education, Training and Youth Affairs, Queensland State Office",Regional or State Office,Queensland,1997-07-01,1998-10-21,1997-07-01,1998-10-21
CA 8567,"Office of the Employment Advocate, Victorian Regional Office",Regional or State Office,Victoria,1997-07-18,2007-06-30,1997-07-18,2007-06-30
CA 8568,"Employment National Limited, Head Office",Head Office,Australian Capital Territory,1997-08-04,,1997-08-04,
CA 8613,"Department of Employment, Workplace Relations and Small Business, Central Office",Department of State,Australian Capital Territory,1998-10-21,2001-11-26,1998-10-21,2001-11-26
CA 8674,"Senate References Committee on Employment, Workplace Relations, Small Business and Education",Head Office,Australian Capital Territory,1994-10-10,,1994-10-10,1998-11-11
CA 8675,"Senate Legislation Committee on Employment, Workplace Relations, Small Business and Education",Head Office,Australian Capital Territory,1994-10-10,,1994-10-10,
CA 8815,"Department of Employment, Workplace Relations and Small Business, Western Australian Regional Office",Regional or State Office,Western Australia,1998-10-21,2001-11-26,1998-10-21,2001-11-26
CA 8869,"Department of Employment and Workplace Relations, Central Office",Department of State,Australian Capital Territory,2001-11-26,2007-12-03,2001-11-26,2007-12-03
CA 8881,"Department of Employment and Workplace Relations, Victoria State Office",Regional or State Office,Victoria,2001-11-26,2007-12-03,2001-11-26,2007-12-03
CA 8891,"Department of Employment and Workplace Relations, State Office, Queensland",Local Office,Queensland,2001-11-26,2007-12-03,2001-11-26,2007-12-03
CA 8897,"Department of Employment and Workplace Relations,  South Australian Regional Office",Local Office,South Australia,2001-11-26,2007-12-03,2001-11-26,2007-12-03
CA 8905,"Department of Employment and Workplace Relations, Tasmania State Office",Regional or State Office,Tasmania,2001-11-26,2007-12-03,2001-11-26,2007-12-03
CA 8914,"Department of Employment and Workplace Relations, Western Australia State Office",Local Office,Western Australia,2001-11-26,2007-12-03,2001-11-26,2007-12-03
CA 8921,"Department of Employment and Workplace Relations, New South Wales State Office",Regional or State Office,New South Wales,2001-11-26,2007-12-03,2001-11-26,2007-12-03
CA 8932,"Department of Employment and Workplace Relations, Northern Territory Office",Regional or State Office,Northern Territory,2001-11-26,2007-12-03,2001-11-26,2007-12-03
CA 9006,House of Representatives Standing Committee on Employment and Workplace Relations,Local Office,Australian Capital Territory,2002-02-20,,2002-02-20,
CA 9018,"Office of the Employment Advocate, National Office",Head Office,New South Wales,1997-01-02,2007-06-30,1997-01-02,2007-06-30
CA 9185,"The Department of Education, Employment and Workplace Relations",Department of State,Australian Capital Territory,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9208,"The Department of Education, Employment and Workplace Relations, Victoria State Office",Regional or State Office,Victoria,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9212,"Department of Education, Employment and Workplace Relations, New South Wales state office",Regional or State Office,New South Wales,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9239,"Department of Education, Employment and Workplace Relations, State Office, Queensland",Local Office,Queensland,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9271,"The Department of Education, Employment and Workplace Relations, Western Australia State Office",Regional or State Office,Western Australia,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9294,"Fair Work Commission, Head Office",Head Office,Victoria,2009-07-01,,2009-07-01,
CA 9311,"Fair Work Commission, Western Australia",Regional or State Office,Western Australia,2009-07-01,,2009-07-01,
CA 9336,"The Department of Education, Employment and Workplace Relations, Northern Territory Office",Regional or State Office,Northern Territory,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9354,"The Department of Education, Employment and Workplace Relations, South Australia Office",Regional or State Office,South Australia,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9360,"Fair Work Commission, Tasmania",Regional or State Office,Tasmania,2009-07-01,,2009-07-01,
CA 9362,"The Department of Education, Employment and Workplace Relations, Tasmania State Office",Regional or State Office,Tasmania,2007-12-03,2013-09-18,2007-12-03,2013-09-18
CA 9401,Indigenous Business Australia (IBA),Head Office,Australian Capital Territory,1990-03,,1990-03,
CA 9433,"Department of Employment, Central Office",Department of State,Australian Capital Territory,2013-09-18,,2013-09-18,
CA 9459,"Department of Employment, State Office, Northern Territory",Regional or State Office,Northern Territory,2013-09-18,,2013-09-18,
CA 9489,"Fair Work Commission, Australian Capital Territory",Regional or State Office,Australian Capital Territory,2009-07-01,,2009-07-01,
CA 9490,"Fair Work Commission, Sydney",Regional or State Office,New South Wales,2009-07-01,,2009-07-01,
CA 9491,"Fair Work Commission, Newcastle [NSW]",Regional or State Office,New South Wales,2009-07-01,,2009-07-01,
CA 9492,"Fair Work Commission, Wollongong [NSW]",Regional or State Office,New South Wales,2009-07-01,,2009-07-01,
CA 9493,"Fair Work Commission, Northern Territory",Regional or State Office,Northern Territory,2009-07-01,,2009-07-01,
CA 9494,"Fair Work Commission, Queensland",Regional or State Office,Queensland,2009-07-01,,2009-07-01,
CA 9495,"Fair Work Commission, South Australia",Regional or State Office,South Australia,2009-07-01,,2009-07-01,
CA 9496,"Fair Work Commission, Victoria",Regional or State Office,Victoria,2009-07-01,,2009-07-01,
